word	type	rafsi	selmaho	definition	notes	jargon	collection_note	score	glossword_1	glossword_1_meaning	glossword_2	glossword_2_meaning	glossword_3	glossword_3_meaning	glossword_4	glossword_4_meaning	glossword_5	glossword_5_meaning	glossword_6	glossword_6_meaning	glossword_7	glossword_7_meaning	glossword_8	glossword_8_meaning	glossword_9	glossword_9_meaning	glossword_10	glossword_10_meaning	glossword_11	glossword_11_meaning	glossword_12	glossword_12_meaning	glossword_13	glossword_13_meaning	glossword_14	glossword_14_meaning	glossword_15	glossword_15_meaning	glossword_16	glossword_16_meaning	glossword_17	glossword_17_meaning	glossword_18	glossword_18_meaning	glossword_19	glossword_19_meaning	glossword_20	glossword_20_meaning	placekeyword_1	placekeyword_1_meaning	placekeyword_2	placekeyword_2_meaning	placekeyword_3	placekeyword_3_meaning	placekeyword_4	placekeyword_4_meaning	placekeyword_5	placekeyword_5_meaning	placekeyword_6	placekeyword_6_meaning	placekeyword_7	placekeyword_7_meaning
lisnuntoi	lujvo			$n_1$ is a drafting by author $l_3=t_1$ of story $l_1=t_2$ using method $t_3$.				1	story drafting																																																					
lisri	gismu	lis		$x_1$ is a story/tale/yarn/narrative about plot/subject/moral $x_2$ by storyteller $x_3$ to audience $x_4$.	Also legend; a narrative need not be fictional; $x_2$ may be merely a convention rather than a subject; also $x_3$ tells/recounts story/tale $x_1$ about $x_2$ to $x_4$ (= {selterlisri} for place reordering); note that the storyteller need not be the author.  See also {ranmi}, {cfika}, {skicu}, {prosa}, {pemci}.			100002	story																																																					
liste	gismu	    ste		$x_{1}$ (physical object) is a list/catalog/register of sequence/set $x_{2}$ in order $x_{3}$ in medium $x_{4}$.	Also roll, log.  ($x_2$ is completely specified); (cf. {porsi}, {girzu}, {cmima} for mental objects wherein order is of varying importance; some manifested order is intrinsic to a physical list, but the specific order may be incidental and not intentional/purposeful)			100001	list																																																					
lisxra	lujvo			$x_1=p_1$ is a comic strip about plot/subject/moral $x_2=l_2$ illustrated by $x_3=p_3$ with story written by $x_4=l_3$.	Cf. {lisri}, {pixra}.			2	comic strip		comics																																																			
lisybartu	lujvo			$b_1$ is out of character (actions or speech not to be interpreted as part of a story/role-playing game)	in character: {lisne'i}			1	out of character	roleplay	OOC	roleplay																																																		
lisycku	lujvo			$c_1$ is a story book containing story/tale/yarn/narrative $c_2=l_2$ by book author $c_3$ for book’s audience $c_4$ preserved in medium $c_5$.	A book is called a “story book” in this context if it contains at least one story ($c_2=l_1$). Cf. {fikcku}.			2	story book																																								story book													
lisysku	lujvo			$x_1$ tells story $x_2$ to $x_3$				1	tell story																																																					
litce	gismu	lic		$x_{1}$ is $x_{2}$ liter(s) [metric unit] in volume (default is 1) by standard $x_{3}$.	See also {merli}, {grake}, {mitre}, {dekpu}, {centi}, {decti}, {dekto}, {femti}, {gigdo}, {gocti}, {gotro}, {kilto}, {megdo}, {mikri}, {milti}, {nanvi}, {petso}, {picti}, {terto}, {xatsi}, {xecto}, {xexso}, {zepti}, {zetro}.			100001	liter																																																					
litcreka	lujvo			$cr_1$ is a dress shirt of material $cr_2$, potentially formal by standard $cl_3$.	A shirt with a collar, a full-length opening at the front from the collar to the hem, and sleeves with cuffs; normally made from woven cloth, and are often accompanied by a jacket  and tie, for example with a suit or formalwear, but can be worn also more casually without. Cf. {creka}.			2	dress shirt		shirt	dress shirt	button-front shirt		button-down shirt																																															
litkauo	fu'ivla			$x_1$ is an African wild dog (Lycaon pictus) of species/breed $x_2$	See {labno}, {gerku}			1	African wild dog																																																					
litki	gismu	lik		$x_{1}$ is liquid/fluid, of composition/material including $x_{2}$, under conditions $x_{3}$.	Conditions include temperature and pressure.  See also {cilmo}, {djacu}, {lumci}, {runta}, {pambe}, {sudga}, {gapci}, {sligu}, {flecu}, {jduli}.			100000	liquid																																																					
litkrxepoksi	fu'ivla			$x1$ is a quantity of epoxy of composition/material including $x2$, under conditions $x3$				1	epoxy																																																					
litru	gismu	        li'u		$x_{1}$ travels/journeys/goes/moves via route $x_{2}$ using means/vehicle $x_{3}$; $x_{1}$ is a traveller.	($x_2$ as a set includes points at least sufficient to constrain the route relevantly); See also {bajra}, {cadzu}, {cpare}, {tcana}, {klama}, {cliva}, {pluta}, {limna}, {muvdu}.			100000	travel																																																					
litxendo	lujvo			$xe_1=c_1$ is gracious to $xe_2$ in matter $xe_3=c_2$.	{xendo}, {clite}.			1	gracious	kind and courteous																																																				
litybakni	lujvo			$x_1$ is a saola of breed $x_2$				1																																									saola													
lityta'u	lujvo			$x_1$ is formal wear/dress/outfit as worn by $x_2$ for purpose/event/custom $x_3$	Inspired by {litcreka} ("dress shirt").			1																																																						
litytce	lujvo			$m_1$ is very/extremely polite/courteous/civil in matter $c_2$ according to standard/custom $c_3$.	Cf. {clite}, {mutce}.			1	polite, very		courteous, vey		civil, very																																																	
li'u	cmavo		LIhU	elidable terminator: end grammatical quotation; seldom elidable except at end of text.				100001	end quote																																																					
li'unko	fu'ivla			$x_1$ is a lynx (Felis lynx)	See {mlatu}			1	lynx																																																					
liunko	obsolete fu'ivla			$x_1$ is a lynx (Felis lynx)	See {mlatu}			2	lynx																																																					
li'urdakli	lujvo			$d_1$ is a suitcase with contents $d_2$ of material $d_3$				1	suitcase																																																					
li'ursutyjvi	lujvo			$x_1$ races against $x_2$ in travelling $x_2$ with vehicle $x_4$ and prize/rewards $x_5$	Although slightly metaphorical, can apply also to videogame speedrun.			1	race	competition																																																				
li'urxa'u	lujvo			$l_1=xa_1$ itinerates over route/thoughout region $l_2=xa_2$ by means of travel $l_3$; $l_1$ is nomadic.				1	nomad		nomadic																																																			
livbai	lujvo			$b_1$ expels $c_1$ from $c_2$; $b_1$ throws $c_1$ out of $c_2$.	Cf. {cliva}, {bapli}, {livgau}.			2	displace		expel		throw out																																				bouncer													
livga	gismu			$x_{1}$ is a/the liver [body-part] of $x_{2}$.	See also {rango}, {betfu}.			100000	liver																																																					
livgau	lujvo			$g_1$ causes $c_1$ to leave $c_2$ via route $c_3$.  	Cf. {cliva}, {gasnu}, {livbai}.			1	make leave		cause to leave																																																			
livla	gismu	lil		$x_{1}$ is a fuel/energy-source for powering $x_{2}$.	See also {nejni}, {xaksu}, {jelca}.			100000	fuel																																																					
livyxrukla	lujvo			$x_1$ goes back and forth/commutes between $x_2$ and $x_3$ via route $x_4$ using means/vehicle $x_5$	from {cliva} + {xruti} + {klama}			1	back and forth		commute		to and fro		go back and forth																																															
lixfarci'a	lujvo			$c_1$ writes $c_2$ in boustrophedon style on display/storage medium $c_3$ with writing implement $c_4$.	Synonymous with {lixyzilfarci'a}, {lixycarzilfarci'a}, {lixylutci'a}, {lixycarlutxi'a}. See also {lixyzilfa'a}/{lixylu'a} 'boustrophedon'.			1	write boustrophedonically		write in boustrophedon																																						boustrophedonic writer		boustrophedonic text		writing medium		writing implement							
lixtci	lujvo			$x_1$ is a plough/plow for ploughing/plowing $x_2$ propelled by $x_3$				2	plow	tool	plough	tool																																																		
lixycna	lujvo			$c_1$ is a hoe for digging $c_2$	cf. {plixa} {canpa}			1																																																						
lizdu'o	lujvo			$x_1$ is the subjective conscious experience of being $x_2$; $x_1$ is what it's like to be $x_2$	See {li'i}, {li'imdu}, {du}, {kamcedu}, {dumdu'o}			1	what it's like to be																																																					
lo	cmavo		LE	descriptor: the one, which (is / does) ... / those, which (are / do) ...	Terminated with {ku}. Under the xorlo reform, {lo} converts a selbri to a sumti in a generic way. In particular, lo broda = {zo'e} noi broda.			100003	that, which		the	the one which is/does, the ones which are/do	that	that which is/does	those	those which are/do																																														
lo'a	cmavo		BY1	shift letterals to Lojban (Roman) alphabet.				100001	Lojban shift		Latin shift																																																			
lo'a'au	experimental cmavo		LE	descriptor: each; «lu'a'au lo»	Alternative interpretation of individuality, with a stronger focus on the individuals and/or being separate.  See also: {lu'a'au} (LAhE grammar), {lo'u'a} (old-style {lo}), {le'a'au} ({lo'a'au} but for {le}), {la'a'au} ({lo'a'au} but for {la}).			1	each	descriptor of individuals																																																				
lo'ai	experimental cmavo		LOhAI	start quote of recent mistakenly uttered text to be replaced	See {le'ai}.			3	mistake quote																																																					
lo'au	experimental cmavo		LE	presuppositional definite article: the …; the thing(s) which …	Post-Xorlo {lo}. Refers collectively to all the things satisfying the description within the universe of discourse. These things are presupposed to exist. «lo'au PA broda» = «lo'au broda noi PA mei». «lo'au broda cu brode» = «su'oi da poi ge ke'a broda gi ro'oi de go broda gi me ke'a cu brode», with topmost/presuppositional scope for the {su'oi} quantifier (i.e. it goes before everything else in the prenex of the topmost clause, or more accurately in a separate hidden sentence for the presupposition of the existance of «lo'au broda» to work when the sentence is a question or a command, for example).			3	definite article																																																					
lo'e	cmavo	lom	LE	veridical descriptor: the typical one(s) who really is(are) ...				100000	the typical																																																					
lo'ei	experimental cmavo		LOhEI	generic / nonce «lo»-type constructor with the grammar of «lo SEI»; «lo mu'a'ei».	To create a custom «lo», you can say «lo'ei ⟨bridi⟩ se'u broda».  See also: {ui'ei}, {ju'a'ei}, {ma'o'ei}, {lo'u'a}.  (Due to its location in the grammar, «lo'ei» often but not always needs an explicit «se'u» terminator, unlike many other «mu'a'ei» shorthands.)  ni'o Note that in Lojban grammar, «sei ko'a ko'e broda ko'i» means «sei ko'a ko'e broda se'u ko'i».  To keep sumti after «broda» attached, use either «bei'e» or «be».			1	nonce LO	manual LO from bridi	manual LO from bridi		nonce	LO																																																
logji	gismu	loj		$x_{1}$ [rules/methods] is a logic for deducing/concluding/inferring/reasoning to/about $x_{2}$ (du'u).	Also (adjective:) $x_1$, $x_2$ are logical.  See also {nibli}.			100000	logic																																																					
loglan	cmevla			Loglan	See also {lojbau}, {loglo}. The Loglan language, predecessor of Lojban. The first 'logical language', Loglan was conceived and largely developed by Dr. James Cooke Brown, an American professor of sociology, during the mid- to late 20th century, starting in 1955. Loglan gained notoriety in a 1960 Scientific American article, but was not fleshed out until years afterward. A dispute over rights to the language (eventually resolved in court) led to the creation of Lojban in 1987. Extensive documentation on Loglan can be found (as of June 2018) at loglan.org.			2	Loglan	constructed language																																																				
